experiment_phase,condition_id,replicate,condition_order,matrix_seed,run_tag,run_id,mode,requested_algorithm,selected_algorithms,load,network_load_pct,state_cpu_pct,state_memory_pct,publisher_start_spread_ms,max_publisher_start_lateness_ms,devices,messages_per_device,payload_bytes,messages_expected,messages_received,message_loss_pct,authentication_failures,mean_encryption_ms,mean_decryption_ms,mean_e2e_latency_ms,p95_e2e_latency_ms,throughput_mbps,mean_process_cpu_pct,mean_rss_mb,estimated_energy_j
final,fixed_chacha20__medium__d5__p1024,17,103,20260905,final_fixed_chacha20__medium__d5__p1024_rep17_ord103_r1793_fixed_medium_d5_p1024_cpu20_mem30_1788654326,1793,fixed,ChaCha20-Poly1305,"{""ChaCha20-Poly1305"": 100}",medium,50.0,20.0,30.0,0.5314529989846051,0.5324270023265854,5,20,1024,100,100,0.0,0,0.64950176,0.1766088,8.72429165,15.281164,2.1841534071259194,4.998153707918729,33.03203125,0.5000000000000004
final,fixed_aes128__medium__d10__p1024,17,104,20260905,final_fixed_aes128__medium__d10__p1024_rep17_ord104_r1742_fixed_medium_d10_p1024_cpu20_mem30_1788654340,1742,fixed,AES-128-GCM,"{""AES-128-GCM"": 200}",medium,50.0,20.0,30.0,2.950871996290516,2.951787995698396,10,20,1024,200,200,0.0,0,0.967064525,0.05466819,8.236452945,17.279979,4.511121770989039,5.4981393215392185,33.076171875,1.0999999999999992
final,fixed_aes256__high__d5__p1024,17,105,20260905,final_fixed_aes256__high__d5__p1024_rep17_ord105_r1775_fixed_high_d5_p1024_cpu20_mem30_1788654355,1775,fixed,AES-256-GCM,"{""AES-256-GCM"": 100}",high,80.0,20.0,30.0,0.5842040045536123,0.5855410054209642,5,20,1024,100,100,0.0,0,0.56883107,0.12226547,10.688991329999999,17.126062,4.31129401631814,12.993475869542547,32.925,0.65
final,adaptive__medium__d10__p256,17,106,20260905,final_adaptive__medium__d10__p256_rep17_ord106_r1822_adaptive_medium_d10_p256_cpu20_mem30_1788654368,1822,adaptive,adaptive,"{""AES-256-GCM"": 200}",medium,50.0,20.0,30.0,6.95168200036278,6.953262993192766,10,20,256,200,200,0.0,0,1.06713944,0.12278758999999999,13.524506845000001,41.063524,1.0854502101147119,4.998168573626319,33.081640625,1.0000000000000009
final,adaptive__low__d10__p4096,17,107,20260905,final_adaptive__low__d10__p4096_rep17_ord107_r1815_adaptive_low_d10_p4096_cpu20_mem30_1788654383,1815,adaptive,adaptive,"{""AES-256-GCM"": 200}",low,20.0,20.0,30.0,11.273190000792965,11.274878001131583,10,20,4096,200,200,0.0,0,1.0646309649999999,0.210035915,12.499589075,16.637837,3.4519148552914585,2.3996822841175627,33.073046875,2.4
final,adaptive__medium__d5__p4096,17,108,20260905,final_adaptive__medium__d5__p4096_rep17_ord108_r1821_adaptive_medium_d5_p4096_cpu20_mem30_1788654399,1821,adaptive,adaptive,"{""AES-256-GCM"": 100}",medium,50.0,20.0,30.0,2.979270000651013,2.9806910024490207,5,20,4096,100,100,0.0,0,0.50364184,0.12900211,9.10792161,10.055145,8.73170158514281,5.49874919121091,32.9484375,0.5499999999999999
final,adaptive__low__d5__p4096,18,1,20260905,final_adaptive__low__d5__p4096_rep18_ord1_r1920_adaptive_low_d5_p4096_cpu20_mem30_1788654413,1920,adaptive,adaptive,"{""AES-256-GCM"": 100}",low,20.0,20.0,30.0,0.31127700640354306,0.3121030022157356,5,20,4096,100,100,0.0,0,0.47424885000000006,0.18196881999999998,11.4163123,13.351267,1.7233033882129098,1.799657047298855,33.02578125,0.9000000000000006
final,fixed_chacha20__high__d10__p1024,18,2,20260905,final_fixed_chacha20__high__d10__p1024_rep18_ord2_r1913_fixed_high_d10_p1024_cpu20_mem30_1788654427,1913,fixed,ChaCha20-Poly1305,"{""ChaCha20-Poly1305"": 200}",high,80.0,20.0,30.0,8.947119997174013,8.948811999289319,10,20,1024,200,200,0.0,0,0.7202524450000001,0.05651175,13.086795035,16.889082,8.921522240962288,9.991628923658883,33.08125,0.999999999999999
final,fixed_chacha20__high__d10__p256,18,3,20260905,final_fixed_chacha20__high__d10__p256_rep18_ord3_r1912_fixed_high_d10_p256_cpu20_mem30_1788654442,1912,fixed,ChaCha20-Poly1305,"{""ChaCha20-Poly1305"": 200}",high,80.0,20.0,30.0,15.062894999573473,15.064193001308013,10,20,256,200,200,0.0,0,0.765303135,0.0692893,20.61242134,34.400911,1.6748412426291053,7.993605406612272,33.121875,0.7999999999999994
final,fixed_aes128__low__d5__p4096,18,4,20260905,final_fixed_aes128__low__d5__p4096_rep18_ord4_r1839_fixed_low_d5_p4096_cpu20_mem30_1788654457,1839,fixed,AES-128-GCM,"{""AES-128-GCM"": 100}",low,20.0,20.0,30.0,0.8425699998042546,0.8436009957222268,5,20,4096,100,100,0.0,0,0.77905865,0.20923443,11.64275439,14.247705,1.729019940762872,2.199632205046291,33.05078125,1.0999999999999999
